,floor,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,hasParkingSpace,IncludedInPrice,price_amount,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,district_Buenavista-Ería-Montecerrao,district_Carbayin-Lieres-Valdesoto,district_Celorio-Poó-Parres,district_Centro,district_Centro-Casco Histórico,district_Ciudad Naranco-Vallobín-La Florida,district_Corredoria-Huca-Teatinos,district_Cué-San Roque-Andrín,district_El Berrón-La Carrera,district_El Carbayedo - El Quirinal,district_El Llano,district_El Pozón - Villalegre - La Luz,district_Este,district_Figaredo - Turón,district_Fozaneldi-Tenderina-Ventanielles,district_Jardín de Cantos - El Nodo,district_La Felguera,district_La Fresneda,district_La Manjoya-Parroquias Sur,district_La Pola Siero,district_La Villa - Bazuelo,district_Llanes,district_Luanco - Aramar - Antromero,district_Lugones,district_Oeste,district_Parroquias Norte,district_Parroquias Norte-Naranco,district_Parroquias suroccidentales,district_Parroquias surorientales,district_Periurbano,district_Piedras Blancas,district_Pillarno,district_Posada-Barro,district_Pría-Nueva-Hontoria-Naves,district_Quintes - Arroes,district_Requejo - Rozaes - Oñón,district_San Claudio-Trubia-Las Caldas,district_San Lazaro-Otero-Villafría,district_San Pedro - Siana,district_Selorio - Tornón,district_Somió - Cabueñes,district_Sur,district_Tazones - Argüero,district_Vidiago-Pendueles-Tresgrandas,district_Viella-Granda-Meres
1061,-0.3348694572901184,-0.6224440599573273,0,-1.314657748160937,-0.7650583906877475,0.34879425604967257,0.5250948779079083,0,0,0,75000.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3251,-0.7749695516728732,0.02603451192467094,0,0.29055191705603256,-0.13339117697415515,-0.6305266599677389,-0.5720513308508907,0,1,1,449000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2719,0.9854308258581459,-0.3785717765145245,1,-0.2445179713496239,-0.13339117697415515,-0.5689099542942716,-0.4070412651067106,1,0,0,390000.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1600,1.8656310146236552,-0.7055823384037373,1,-1.314657748160937,-0.7650583906877475,-0.37695487794365007,-0.3177388346222844,1,1,1,115000.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2433,-0.7749695516728732,2.126661680670631,0,2.4308314706786587,1.761610464166622,-0.7466945183032956,-0.5470857191069136,0,1,1,795000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2898,1.4255309202409006,-0.09035907790030309,1,0.29055191705603256,-0.13339117697415515,-0.6274608483432298,-0.38543028398862683,1,0,0,475000.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049,2.7458312033891645,-0.5226781258216352,1,-0.2445179713496239,-0.7650583906877475,1.2946651181150095,-0.6027222394304691,1,0,0,124995.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4442,-0.7749695516728732,0.15351320554249964,0,0.29055191705603256,-0.13339117697415515,-1.5582223425148067,1.4341447433828385,0,1,1,279000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4361,-0.7749695516728732,-0.17903990824314045,0,-0.2445179713496239,0.4982760367394372,-0.5417314160239785,1.2887638847639926,0,1,1,239000.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2664,2.7458312033891645,-0.666784475128746,1,-0.7795878597552803,-0.7650583906877475,-0.5910661571977671,-0.38781037439289606,1,0,0,210000.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
