iter	RMSE
0	287990.5152
1	279484.7945
2	271837.0916
3	263367.4683
4	255633.361
5	248425.9532
6	241876.8916
7	235721.7103
8	228735.2456
9	222486.9866
10	215654.7813
11	209947.5907
12	204105.6023
13	198142.9596
14	192056.1609
15	186730.6472
16	181221.1701
17	175870.0926
18	171322.1989
19	166307.7367
20	162274.1136
21	158338.7958
22	154122.5804
23	150407.824
24	146173.3537
25	142224.4737
26	138664.7133
27	135583.0056
28	131832.7136
29	128466.5484
30	125415.7878
31	122534.0988
32	119510.1433
33	116379.5681
34	113501.4985
35	110628.445
36	108109.0678
37	106126.8531
38	103935.6028
39	101505.2796
40	99257.27161
41	97365.07699
42	94910.60517
43	92483.78982
44	90819.97475
45	88594.44265
46	86852.68315
47	85101.14006
48	83655.93827
49	81984.82692
50	80433.19944
51	78820.4498
52	77315.88835
53	75646.39928
54	74283.71721
55	72850.00562
56	71484.29044
57	70106.0863
58	68737.32856
59	67611.71554
60	66577.91143
61	65169.76278
62	64189.00259
63	63001.03268
64	62029.30029
65	61067.39964
66	60078.03965
67	59097.18393
68	57990.90559
69	57150.78612
70	56439.43243
71	55450.9213
72	54428.84736
73	53657.01829
74	52776.84426
75	51854.51704
76	50893.29874
77	49892.23408
78	49415.76969
79	48563.78004
80	48103.15575
81	47654.42342
82	47225.50397
83	46650.17228
84	46139.11341
85	45554.48829
86	44885.86451
87	44172.14336
88	43383.53238
89	42751.94218
90	42156.37897
91	41758.58572
92	41339.87578
93	40611.45416
94	40151.20792
95	39768.59905
96	39343.24698
97	38817.99624
98	38315.84039
99	37758.08284
100	37167.96083
101	36647.7068
102	36486.63108
103	36086.21183
104	35435.2592
105	34824.40446
106	34337.25961
107	34017.07779
108	33498.96119
109	32989.93542
110	32671.23421
111	32174.24977
112	31705.27082
113	31332.11352
114	30951.88428
115	30537.01464
116	30150.84275
117	29739.06889
118	29308.84138
119	28979.52475
120	28803.60754
121	28368.22715
122	27958.08949
123	27637.4353
124	27344.40735
125	26967.71092
126	26731.63621
127	26493.40027
128	26233.38664
129	25965.16101
130	25660.83301
131	25456.43253
132	25290.80653
133	25026.87632
134	24726.20792
135	24525.2993
136	24232.80001
137	23888.72858
138	23654.59949
139	23349.08263
140	23106.06991
141	22849.39739
142	22687.34308
143	22499.37369
144	22240.64692
145	22084.42005
146	21843.30741
147	21589.50868
148	21350.20305
149	21108.63336
150	20827.09094
151	20695.3043
152	20482.02925
153	20267.53867
154	20087.79989
155	19885.13928
156	19676.0852
157	19508.014
158	19390.94572
159	19179.53997
160	18988.42323
161	18753.42605
162	18575.12869
163	18453.30101
164	18359.02751
165	18147.52838
166	17948.08808
167	17874.7732
168	17718.24701
169	17573.90537
170	17429.50243
171	17364.80373
172	17231.40104
173	17122.76358
174	17007.16224
175	16837.43036
176	16690.72167
177	16575.87067
178	16424.5739
179	16278.86747
180	16189.73299
181	16113.00607
182	16015.73008
183	15875.04867
184	15754.43676
185	15624.63019
186	15479.98479
187	15347.21143
188	15232.91826
189	15160.37189
190	15019.06978
191	14908.87661
192	14807.0591
193	14735.98433
194	14654.17143
195	14595.74668
196	14496.55305
197	14361.09463
198	14239.71737
199	14134.26013
200	14059.46705
201	13950.3257
202	13849.20959
203	13765.48375
204	13677.66244
205	13594.37842
206	13511.52581
207	13422.41698
208	13341.42672
209	13249.9183
210	13207.27723
211	13105.70781
212	13012.05211
213	12899.325
214	12808.03673
215	12739.80938
216	12665.82939
217	12612.55662
218	12538.30808
219	12477.39093
220	12420.73684
221	12329.39494
222	12299.81414
223	12246.85659
224	12212.4393
225	12149.05894
226	12057.79957
227	12016.85165
228	11966.6704
229	11918.93585
230	11867.56579
231	11819.45554
232	11774.24501
233	11708.52943
234	11637.25576
235	11578.07838
236	11530.42224
237	11462.01344
238	11420.84652
239	11341.93838
240	11281.87774
241	11221.31984
242	11180.91095
243	11118.56322
244	11059.12276
245	11010.09908
246	10941.04406
247	10874.19904
248	10802.81786
249	10740.70145
250	10689.3644
251	10640.36349
252	10579.19878
253	10543.69575
254	10509.0946
255	10448.56991
256	10416.37333
257	10350.23694
258	10312.8721
259	10283.74018
260	10221.275
261	10175.1821
262	10144.76902
263	10107.10335
264	10079.09852
265	10029.85534
266	9980.843076
267	9929.701459
268	9889.975838
269	9864.414181
270	9826.174888
271	9783.653707
272	9728.573051
273	9670.591238
274	9629.235315
275	9603.123902
276	9555.424835
277	9514.836956
278	9484.946773
279	9447.079855
280	9407.821095
281	9364.745417
282	9329.702844
283	9293.967566
284	9253.666301
285	9233.568063
286	9201.675466
287	9161.964626
288	9125.983245
289	9090.409721
290	9042.13964
291	8988.063615
292	8945.267835
293	8923.233742
294	8886.758208
295	8863.912731
296	8828.835109
297	8795.364007
298	8764.52971
299	8732.790675
300	8689.069619
301	8662.413924
302	8630.200963
303	8596.368423
304	8570.390118
305	8524.688344
306	8473.41086
307	8435.981368
308	8394.710083
309	8368.692133
310	8346.737665
311	8307.513474
312	8265.338752
313	8236.665311
314	8186.325041
315	8147.711051
316	8103.595913
317	8080.815943
318	8038.572636
319	8011.484614
320	7974.008725
321	7937.877541
322	7904.626324
323	7872.854528
324	7844.618282
325	7806.699093
326	7774.639968
327	7742.448224
328	7695.271555
329	7660.683205
330	7639.48032
331	7612.889762
332	7591.9163
333	7568.205138
334	7547.612206
335	7515.953129
336	7490.282
337	7463.772657
338	7432.871679
339	7389.459348
340	7359.162705
341	7333.553211
342	7314.725935
343	7285.847801
344	7255.89911
345	7236.939196
346	7217.093723
347	7191.511384
348	7171.381605
349	7148.012123
350	7116.423218
351	7078.633129
352	7064.348079
353	7029.683766
354	7009.72534
355	6985.400394
356	6968.621031
357	6938.166781
358	6901.474247
359	6877.27151
360	6860.789335
361	6847.022964
362	6821.143472
363	6810.530134
364	6783.920124
365	6760.734704
366	6733.550688
367	6718.05432
368	6703.731563
369	6686.598457
370	6659.446621
371	6637.136665
372	6608.925697
373	6598.610563
374	6574.81551
375	6560.01194
376	6530.118936
377	6503.866416
378	6480.540664
379	6463.248213
380	6442.83839
381	6428.807199
382	6419.480561
383	6407.43975
384	6392.415232
385	6380.892076
386	6367.131725
387	6335.142126
388	6302.005239
389	6288.350437
390	6278.678
391	6257.969519
392	6243.028221
393	6228.549797
394	6191.294528
395	6172.263961
396	6150.811535
397	6139.168729
398	6131.975987
399	6101.671392
400	6076.910532
401	6067.544519
402	6046.114457
403	6036.751485
404	6023.925466
405	6003.966218
406	5988.380009
407	5960.187634
408	5948.64423
409	5932.405709
410	5919.434637
411	5892.667398
412	5886.599889
413	5862.762798
414	5855.811533
415	5828.662024
416	5819.123603
417	5795.127848
418	5786.5187
419	5767.811859
420	5746.074642
421	5722.330226
422	5716.542025
423	5699.57629
424	5675.895915
425	5669.808083
426	5659.04244
427	5643.214728
428	5626.406239
429	5608.994312
430	5595.551539
