iter	Passed	Remaining
0	140	140760
1	142	70870
2	143	47587
3	144	35991
4	145	29005
5	147	24353
6	148	21049
7	149	18547
8	150	16594
9	151	15030
10	153	13762
11	154	12703
12	155	11833
13	157	11089
14	158	10423
15	159	9834
16	161	9313
17	162	8861
18	163	8461
19	165	8099
20	166	7767
21	167	7463
22	169	7193
23	170	6942
24	172	6710
25	173	6496
26	174	6289
27	175	6103
28	177	5937
29	178	5782
30	180	5633
31	181	5503
32	183	5373
33	184	5229
34	185	5108
35	186	4995
36	187	4886
37	188	4784
38	190	4686
39	191	4597
40	193	4514
41	194	4436
42	196	4370
43	197	4293
44	198	4218
45	199	4147
46	201	4077
47	202	4009
48	203	3946
49	204	3889
50	205	3831
51	207	3775
52	208	3720
53	209	3670
54	210	3619
55	211	3573
56	213	3528
57	214	3483
58	215	3440
59	216	3399
60	218	3358
61	219	3321
62	220	3283
63	222	3249
64	223	3214
65	224	3182
66	226	3151
67	227	3122
68	229	3091
69	230	3067
70	232	3041
71	234	3016
72	236	2997
73	237	2971
74	239	2949
75	240	2924
76	241	2899
77	243	2874
78	245	2856
79	246	2832
80	247	2811
81	249	2794
82	251	2773
83	252	2751
84	253	2731
85	254	2709
86	256	2689
87	257	2668
88	258	2650
89	260	2632
90	261	2614
91	263	2596
92	264	2578
93	265	2563
94	267	2547
95	268	2527
96	269	2510
97	270	2493
98	272	2477
99	273	2460
100	274	2443
101	275	2427
102	276	2411
103	278	2396
104	279	2382
105	280	2367
106	282	2354
107	283	2343
108	285	2331
109	286	2319
110	287	2306
111	289	2292
112	290	2279
113	291	2266
114	292	2254
115	294	2241
116	295	2229
117	296	2217
118	297	2204
119	299	2192
120	300	2182
121	301	2170
122	302	2159
123	304	2147
124	305	2136
125	306	2124
126	307	2114
127	308	2102
128	309	2092
129	311	2081
130	312	2071
131	313	2060
132	314	2050
133	315	2041
134	317	2031
135	318	2022
136	319	2013
137	320	2004
138	322	1994
139	323	1984
140	324	1974
141	325	1964
142	326	1954
143	327	1945
144	328	1936
145	329	1929
146	331	1921
147	332	1914
148	333	1905
149	334	1897
150	336	1889
151	337	1881
152	338	1873
153	339	1865
154	340	1858
155	342	1851
156	343	1845
157	344	1838
158	346	1832
159	347	1824
160	348	1817
161	350	1810
162	351	1803
163	352	1796
164	353	1786
165	354	1779
166	355	1772
167	356	1765
168	357	1759
169	358	1752
170	360	1745
171	360	1737
172	362	1731
173	363	1725
174	364	1717
175	365	1710
176	366	1704
177	367	1698
178	368	1692
179	370	1685
180	371	1679
181	372	1672
182	373	1666
183	374	1660
184	375	1654
185	376	1649
186	377	1643
187	379	1637
188	380	1631
189	381	1625
190	382	1619
191	383	1614
192	385	1610
193	386	1606
194	387	1601
195	389	1596
196	390	1591
197	391	1587
198	393	1582
199	394	1577
200	395	1572
201	396	1567
202	398	1563
203	399	1559
204	400	1554
205	402	1550
206	403	1545
207	404	1540
208	405	1536
209	407	1533
210	409	1530
211	410	1526
212	412	1522
213	413	1518
214	414	1513
215	415	1508
216	417	1504
217	418	1500
218	419	1495
219	420	1491
220	421	1486
221	423	1482
222	424	1478
223	425	1475
224	427	1471
225	428	1467
226	429	1463
227	430	1458
228	431	1454
229	433	1449
230	434	1446
231	435	1441
232	436	1437
233	437	1433
234	439	1429
235	440	1425
236	441	1421
237	442	1417
238	444	1413
239	445	1409
240	446	1405
241	447	1401
242	448	1397
243	449	1393
244	450	1389
245	451	1385
246	453	1382
247	454	1378
248	455	1375
249	457	1372
250	458	1368
251	459	1364
252	460	1360
253	461	1356
254	463	1353
255	464	1349
256	465	1345
257	466	1342
258	467	1338
259	469	1335
260	470	1332
261	471	1328
262	472	1324
263	473	1321
264	475	1317
265	476	1313
266	477	1309
267	478	1306
268	479	1303
269	480	1299
270	481	1295
271	482	1292
272	484	1289
273	485	1286
274	486	1282
275	487	1279
276	488	1276
277	490	1272
278	491	1269
279	492	1266
280	493	1263
281	494	1259
282	496	1256
283	497	1253
284	498	1250
285	499	1247
286	501	1245
287	502	1242
288	503	1238
289	504	1235
290	506	1233
291	507	1230
292	508	1228
293	510	1225
294	511	1222
295	512	1220
296	514	1217
297	515	1214
298	517	1212
299	518	1209
300	519	1206
301	520	1203
302	522	1200
303	523	1198
304	524	1195
305	525	1192
306	527	1189
307	528	1186
308	529	1184
309	530	1181
310	532	1178
311	533	1176
312	534	1173
313	536	1171
314	537	1169
315	538	1166
316	540	1163
317	541	1160
318	542	1157
319	543	1155
320	544	1152
321	546	1149
322	547	1147
323	548	1145
324	550	1142
325	551	1139
326	552	1136
327	553	1134
328	554	1131
329	556	1128
330	557	1125
331	558	1123
332	559	1120
333	560	1117
334	561	1115
335	563	1112
336	564	1110
337	565	1107
338	566	1104
339	567	1101
340	568	1099
341	570	1096
342	571	1094
343	573	1092
344	574	1090
345	575	1087
346	576	1085
347	578	1083
348	579	1080
349	580	1077
350	581	1075
351	583	1073
352	584	1071
353	585	1068
354	587	1066
355	588	1064
356	590	1063
357	591	1060
358	593	1059
359	594	1057
360	595	1054
361	596	1052
362	598	1049
363	599	1047
364	600	1044
365	601	1042
366	602	1040
367	604	1037
368	605	1035
369	606	1033
370	608	1031
371	609	1028
372	610	1026
373	611	1024
374	613	1022
375	614	1019
376	615	1017
